UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
100654,1,R,608,R,1,R,607,R,151,R,0,R,151,R,80,R,0,R,80,R,26,R,0,R,26,R,69,R,0,R,69,R,26,R,0,R,26,R,757,R,1,R,756,R,203,R,0,R,203
100654,2,R,608,R,1,R,607,R,151,R,0,R,151,R,80,R,0,R,80,R,26,R,0,R,26,R,69,R,0,R,69,R,26,R,0,R,26,R,757,R,1,R,756,R,203,R,0,R,203
100663,1,R,588,R,0,R,588,R,285,R,0,R,285,R,236,R,1,R,235,R,126,R,0,R,126,R,830,R,1,R,829,R,551,R,1,R,552,R,1654,R,2,R,1652,R,962,R,1,R,963
100663,2,R,588,R,0,R,588,R,285,R,0,R,285,R,236,R,1,R,235,R,126,R,0,R,126,R,830,R,1,R,829,R,551,R,1,R,552,R,1654,R,2,R,1652,R,962,R,1,R,963
100690,1,R,8,R,0,R,8,R,3,R,0,R,3,R,2,R,0,R,2,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,10,R,0,R,10,R,4,R,0,R,4
100690,2,R,8,Z,0,R,8,R,3,R,0,R,3,R,2,Z,0,R,2,R,1,R,0,R,1,R,0,Z,0,R,0,R,0,R,0,R,0,R,10,R,0,R,10,R,4,R,0,R,4
100706,1,R,191,R,0,R,191,R,81,R,0,R,81,R,132,R,0,R,132,R,71,R,0,R,71,R,292,R,0,R,292,R,167,R,0,R,167,R,615,R,0,R,615,R,319,R,0,R,319
100706,2,R,191,Z,0,R,191,R,81,R,0,R,81,R,132,Z,0,R,132,R,71,R,0,R,71,R,292,Z,0,R,292,R,167,R,0,R,167,R,615,R,0,R,615,R,319,R,0,R,319
100724,1,R,1097,R,0,R,1097,R,312,R,0,R,312,R,108,R,0,R,108,R,37,R,0,R,37,R,231,R,0,R,231,R,82,R,0,R,82,R,1436,R,0,R,1436,R,431,R,0,R,431
100724,2,R,1097,Z,0,R,1097,R,312,R,0,R,312,R,108,Z,0,R,108,R,37,R,0,R,37,R,231,Z,0,R,231,R,82,R,0,R,82,R,1436,R,0,R,1436,R,431,R,0,R,431
100751,1,R,1128,R,6,R,1122,R,655,R,0,R,655,R,1106,R,5,R,1101,R,744,R,0,R,744,R,4104,R,25,R,4079,R,3131,R,0,R,3131,R,6338,R,36,R,6302,R,4530,R,0,R,4530
100751,2,R,1128,R,6,R,1122,R,655,R,0,R,655,R,1106,R,5,R,1101,R,744,R,0,R,744,R,4104,R,25,R,4079,R,3131,R,0,R,3131,R,6338,R,36,R,6302,R,4530,R,0,R,4530
100760,4,R,231,Z,0,R,231,A,,A,,R,49,R,38,Z,0,R,38,A,,A,,R,11,R,123,Z,0,R,123,A,,A,,R,51,R,392,R,0,R,392,A,,A,,R,111
100830,1,R,286,R,1,R,285,R,76,R,0,R,76,R,65,R,0,R,65,R,26,R,0,R,26,R,228,R,1,R,227,R,93,R,0,R,93,R,579,R,2,R,577,R,195,R,0,R,195
100830,2,R,286,R,1,R,285,R,76,R,0,R,76,R,65,R,0,R,65,R,26,R,0,R,26,R,228,R,1,R,227,R,93,R,0,R,93,R,579,R,2,R,577,R,195,R,0,R,195
100858,1,R,504,R,0,R,504,R,321,R,0,R,321,R,570,R,0,R,570,R,417,R,0,R,417,R,2761,R,0,R,2761,R,2258,R,0,R,2258,R,3835,R,0,R,3835,R,2996,R,0,R,2996
100858,2,R,504,Z,0,R,504,R,321,R,0,R,321,R,570,Z,0,R,570,R,417,R,0,R,417,R,2761,Z,0,R,2761,R,2258,R,0,R,2258,R,3835,R,0,R,3835,R,2996,R,0,R,2996
100937,1,R,67,R,1,R,66,R,32,R,0,R,32,R,93,R,0,R,93,R,63,R,0,R,63,R,167,R,1,R,166,R,126,R,0,R,126,R,327,R,2,R,325,R,221,R,0,R,221
100937,2,R,67,R,1,R,66,R,32,R,0,R,32,R,93,R,0,R,93,R,63,R,0,R,63,R,167,R,1,R,166,R,126,R,0,R,126,R,327,R,2,R,325,R,221,R,0,R,221
101028,4,R,208,Z,0,R,208,A,,A,,R,31,R,0,Z,0,R,0,A,,A,,R,0,R,101,Z,0,R,101,A,,A,,R,32,R,309,R,0,R,309,A,,A,,R,63
101116,1,R,33,R,1,R,32,R,1,R,2,R,3,R,5,R,0,R,5,R,0,R,1,R,1,R,7,R,0,R,7,R,0,R,0,R,0,R,45,R,1,R,44,R,1,R,3,R,4
101116,2,R,19,Z,0,R,19,R,1,R,0,R,1,R,3,Z,0,R,3,R,0,R,0,R,0,R,5,Z,0,R,5,R,0,R,0,R,0,R,27,R,0,R,27,R,1,R,0,R,1
101116,3,R,14,R,1,R,13,Z,0,R,2,R,2,R,2,R,0,R,2,Z,0,R,1,R,1,R,2,R,0,R,2,Z,0,R,0,R,0,R,18,R,1,R,17,R,0,R,3,R,3
101143,4,R,184,Z,0,R,184,A,,A,,R,25,R,2,Z,0,R,2,A,,A,,R,1,R,106,Z,0,R,106,A,,A,,R,29,R,292,R,0,R,292,A,,A,,R,55
101161,4,R,586,Z,0,R,586,A,,A,,R,30,R,18,Z,0,R,18,A,,A,,R,1,R,472,Z,0,R,472,A,,A,,R,127,R,1076,R,0,R,1076,A,,A,,R,158
101189,1,R,188,R,0,R,188,R,40,R,4,R,44,R,76,R,1,R,75,R,23,R,2,R,25,R,77,R,0,R,77,R,26,R,0,R,26,R,341,R,1,R,340,R,89,R,6,R,95
101189,2,R,188,R,0,R,188,R,40,R,4,R,44,R,76,R,1,R,75,R,23,R,2,R,25,R,77,R,0,R,77,R,26,R,0,R,26,R,341,R,1,R,340,R,89,R,6,R,95
